index,family_1,trohpic level in our work,,,kingdom,phylum,order,family,genus,species,name,,level,diet,diet1,sealifebase_level,Paraphyletic group 0,Paraphyletic group 1,Functional group 0,Functional group 1,Functional group 2,Functional group 3,size 0,size 1,feedingtype 0,feedingtype 1,feedingtype 2,feedingtype 3,feedingtype 4,feedingtype 5,feedingtype 6,feedingtype 7,feedingtype 8,size 2,size 3,size 4,size 5,size 6,size 7,size 8,size 9,size 10,size 11,size 12,size 13,size 14,size 15,size 16,size 17,size 18,size 19,size 20
0,Gadidae,4,4,0,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Limanda,Limanda limanda,Limanda limanda,"欧洲黄盖鲽,主要捕食甲壳动物与小鱼",4,carnivore,,,Pisces,,,,,,25,40,": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",,,,,,,,,,,,,,,,,,,
1,Pleuronectidae,4,4,0,Animalia,Chordata,Gadiformes,Gadidae,Merlangius,Merlangius merlangus,Merlangius merlangus,牙鳕,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Clupeidae,3,4,0,Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus morhua,Gadus morhua,,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Triglidae,4,3,0,Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,"鲱科,以小型浮游生物为食，属滤食性鱼类，其本身也是其他大型掠食鱼类所捕食的对象，在食物链上具有重要的地位",3,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Spionidae,2,4,0,Animalia,Chordata,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,Melanogrammus aeglefinus,,4,carnivore,,,Pisces,,,,,,80,112,: endoparasitic<\/small>,": endoparasitic,",": endoparasitic,",": endoparasitic,",": ectoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",35,,,,,,,,,,,,,,,,,,
5,Bacillariaceae,1,4,0,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Pleuronectes,Pleuronectes platessa,Pleuronectes platessa,,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Globigerinidae,2,4,0,Animalia,Chordata,Perciformes,Triglidae,Eutrigla,Eutrigla gurnardus,Eutrigla gurnardus,鲈形目,4,carnivore (based on Scorpaeniformes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Chaetocerotaceae,1,3,0,Animalia,Chordata,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,Sprattus sprattus,,3,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Rhizosoleniaceae,1,4,0,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Globorotaliidae,2,4,0,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys flesus,Platichthys flesus,,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
