Unnamed: 0,family,level,defined_year,median,count,count_by_year,range1_count,range2_count,range3_count
549,Agonidae,4,1970.0,54.45,30228,21,0,30071,157
550,Agonidae,4,1971.0,54.8667,30228,10,0,30071,157
551,Agonidae,4,1972.0,57.6,30228,10,0,30071,157
552,Agonidae,4,1973.0,55.05835,30228,28,0,30071,157
553,Agonidae,4,1974.0,55.3667,30228,20,0,30071,157
554,Agonidae,4,1975.0,54.8167,30228,30,0,30071,157
555,Agonidae,4,1976.0,54.7833,30228,93,0,30071,157
556,Agonidae,4,1977.0,54.9667,30228,56,0,30071,157
557,Agonidae,4,1978.0,54.68335,30228,76,0,30071,157
558,Agonidae,4,1979.0,55.2833,30228,47,0,30071,157
559,Agonidae,4,1980.0,56.9,30228,53,0,30071,157
560,Agonidae,4,1981.0,53.75,30228,238,0,30071,157
561,Agonidae,4,1982.0,52.9885,30228,164,0,30071,157
562,Agonidae,4,1983.0,53.1333,30228,198,0,30071,157
563,Agonidae,4,1984.0,53.886,30228,335,0,30071,157
564,Agonidae,4,1985.0,52.901,30228,237,0,30071,157
565,Agonidae,4,1986.0,53.95,30228,404,0,30071,157
566,Agonidae,4,1987.0,53.75,30228,548,0,30071,157
567,Agonidae,4,1988.0,53.553,30228,391,0,30071,157
568,Agonidae,4,1989.0,54.125,30228,394,0,30071,157
569,Agonidae,4,1990.0,53.4333,30228,548,0,30071,157
570,Agonidae,4,1991.0,53.9333,30228,987,0,30071,157
571,Agonidae,4,1992.0,53.2667,30228,967,0,30071,157
572,Agonidae,4,1993.0,53.4683,30228,1062,0,30071,157
573,Agonidae,4,1994.0,53.655,30228,1179,0,30071,157
574,Agonidae,4,1995.0,53.4583,30228,1327,0,30071,157
575,Agonidae,4,1996.0,53.335,30228,1219,0,30071,157
576,Agonidae,4,1997.0,53.5833,30228,1224,0,30071,157
577,Agonidae,4,1998.0,53.65,30228,1224,0,30071,157
578,Agonidae,4,1999.0,53.6183,30228,1208,0,30071,157
579,Agonidae,4,2000.0,53.9483,30228,1096,0,30071,157
580,Agonidae,4,2001.0,53.6,30228,1155,0,30071,157
581,Agonidae,4,2002.0,53.2567,30228,1500,0,30071,157
582,Agonidae,4,2003.0,53.45,30228,1674,0,30071,157
583,Agonidae,4,2004.0,53.4178,30228,1625,0,30071,157
584,Agonidae,4,2005.0,53.8382,30228,1342,0,30071,157
585,Agonidae,4,2006.0,53.28765,30228,1282,0,30071,157
586,Agonidae,4,2007.0,53.8824,30228,1453,0,30071,157
587,Agonidae,4,2008.0,53.8846,30228,1300,0,30071,157
588,Agonidae,4,2009.0,53.9341,30228,949,0,30071,157
589,Agonidae,4,2010.0,53.4078,30228,1113,0,30071,157
590,Agonidae,4,2011.0,52.708,30228,1046,0,30071,157
591,Agonidae,4,2012.0,51.499500344372,30228,89,0,30071,157
592,Agonidae,4,2013.0,51.498000449071,30228,84,0,30071,157
593,Agonidae,4,2014.0,51.457000514608,30228,89,0,30071,157
594,Agonidae,4,2015.0,51.371250452235,30228,52,0,30071,157
595,Agonidae,4,2016.0,51.4990228128225,30228,40,0,30071,157
596,Agonidae,4,2017.0,51.4622503705245,30228,32,0,30071,157
597,Agonidae,4,2018.0,54.43508,30228,5,0,30071,157
598,Agonidae,4,2019.0,54.512925,30228,4,0,30071,157
936,Ammodytidae,4,1970.0,52.1333,46481,11,0,45234,1247
937,Ammodytidae,4,1971.0,55.2333,46481,51,0,45234,1247
938,Ammodytidae,4,1972.0,57.6667,46481,60,0,45234,1247
939,Ammodytidae,4,1973.0,55.3,46481,73,0,45234,1247
940,Ammodytidae,4,1974.0,51.51667,46481,73,0,45234,1247
941,Ammodytidae,4,1975.0,54.2667,46481,188,0,45234,1247
942,Ammodytidae,4,1976.0,57.6667,46481,81,0,45234,1247
943,Ammodytidae,4,1977.0,56.55,46481,193,0,45234,1247
944,Ammodytidae,4,1978.0,54.7333,46481,64,0,45234,1247
945,Ammodytidae,4,1979.0,57.55,46481,62,0,45234,1247
946,Ammodytidae,4,1980.0,55.75,46481,168,0,45234,1247
947,Ammodytidae,4,1981.0,56.75,46481,2631,0,45234,1247
948,Ammodytidae,4,1982.0,55.1167,46481,107,0,45234,1247
949,Ammodytidae,4,1983.0,60.7333,46481,318,0,45234,1247
950,Ammodytidae,4,1984.0,56.25,46481,626,0,45234,1247
951,Ammodytidae,4,1985.0,56.25,46481,675,0,45234,1247
952,Ammodytidae,4,1986.0,56.9167,46481,1268,0,45234,1247
953,Ammodytidae,4,1987.0,56.25,46481,897,0,45234,1247
954,Ammodytidae,4,1988.0,56.2167,46481,248,0,45234,1247
955,Ammodytidae,4,1989.0,56.75,46481,684,0,45234,1247
956,Ammodytidae,4,1990.0,55.75,46481,638,0,45234,1247
957,Ammodytidae,4,1991.0,56.75,46481,7748,0,45234,1247
958,Ammodytidae,4,1992.0,55.2,46481,1510,0,45234,1247
959,Ammodytidae,4,1993.0,54.9,46481,1480,0,45234,1247
960,Ammodytidae,4,1994.0,54.8167,46481,1735,0,45234,1247
961,Ammodytidae,4,1995.0,55.25,46481,1548,0,45234,1247
