id,level,cluster_high_threshold,cluster_low_threshold,label,mode,family_num
0,4,261,14,Total,0,2146184
1,4,216,14,Total,0,1574923
2,3,262,14,Total,0,788432
3,4,261,14,Total,0,282479
4,2,152,12,Total,0,256401
5,1,165,13,Total,0,187479
6,2,75,3,Total,0,183997
7,1,79,3,Total,0,176839
8,1,88,3,Total,0,159204
9,4,269,14,Total,0,129138
10,1,165,13,Total,0,126332
11,2,249,14,Total,0,124197
12,3,170,13,Total,0,119967
13,2,264,14,Total,0,115921
14,2,240,14,Total,0,109689
15,5,224,14,Total,0,106239
16,1,81,3,Total,0,104079
17,5,173,13,Total,0,98553
18,4,228,14,Total,0,95299
19,2,79,3,Total,0,90847
20,5,228,14,Total,0,87701
21,2,249,14,Total,0,86891
22,2,81,3,Total,0,84036
23,1,165,13,Total,0,82304
24,1,81,3,Total,0,81426
25,4,269,14,Total,0,80453
26,2,149,12,Total,0,80401
27,1,20,2,Total,0,77841
28,1,24,2,Total,0,75329
29,2,235,14,Total,0,73416
30,4,229,14,Total,0,73323
31,1,91,3,Total,0,72062
32,2,250,14,Total,0,69938
33,3,84,3,Total,0,67233
34,3,243,14,Total,0,66941
35,2,200,13,Total,0,66409
36,2,106,7,Total,0,65598
37,2,252,14,Total,0,64948
38,2,237,14,Total,0,64798
39,2,145,12,Total,0,63409
40,1,19,2,Total,0,62960
41,2,153,12,Total,0,62925
42,1,67,3,Total,0,62308
43,2,92,3,Total,0,59000
44,2,92,3,Total,0,57582
45,1,63,3,Total,0,55983
46,2,249,14,Total,0,53290
47,1,33,2,Total,0,52360
48,2,92,3,Total,0,50759
49,2,239,14,Total,0,50074
50,2,8,1,Total,0,49488
51,4,227,14,Total,0,49319
52,2,150,12,Total,0,47864
53,2,245,14,Total,0,46258
54,2,27,2,Total,0,45737
55,4,231,14,Total,0,45649
56,2,182,13,Total,0,44562
57,2,270,14,Total,0,43484
58,1,75,3,Total,0,42519
59,2,111,8,Total,0,42437
60,2,240,14,Total,0,41626
61,2,96,4,Total,0,41571
62,2,225,14,Total,0,41463
63,1,22,2,Total,0,39831
64,2,206,14,Total,0,39659
65,1,196,13,Total,0,39352
66,4,36,2,Total,0,38430
67,2,89,3,Total,0,36928
68,4,61,3,Total,0,36629
69,2,245,14,Total,0,35847
70,2,128,11,Total,0,34642
71,3,209,14,Total,0,33828
72,2,251,14,Total,0,33751
73,2,271,14,Total,0,33560
74,2,178,13,Total,0,33341
75,3,266,14,Total,0,33302
76,2,242,14,Total,0,32777
77,4,92,3,Total,0,32273
78,2,249,14,Total,0,31955
79,2,241,14,Total,0,31749
80,4,61,3,Total,0,31120
81,1,91,3,Total,0,30899
82,2,85,3,Total,0,30700
83,2,141,12,Total,0,30621
84,2,92,3,Total,0,30601
85,2,272,14,Total,0,30395
86,2,175,13,Total,0,30276
87,1,92,3,Total,0,30263
88,2,62,3,Total,0,30219
89,2,43,3,Total,0,30179
90,3,66,3,Total,0,29934
91,2,17,2,Total,0,29704
92,4,171,13,Total,0,29595
93,2,79,3,Total,0,29470
94,5,228,14,Total,0,28228
95,1,81,3,Total,0,27691
96,2,241,14,Total,0,27656
97,1,161,13,Total,0,27576
98,1,81,3,Total,0,27262
99,2,92,3,Total,0,25469
100,4,86,3,Total,0,24714
101,1,191,13,Total,0,24538
102,2,187,13,Total,0,24244
103,3,63,3,Total,0,23963
104,1,32,2,Total,0,23868
105,1,109,8,Total,0,23758
106,1,90,3,Total,0,23720
107,1,5,1,Total,0,23525
108,1,16,2,Total,0,23321
109,2,265,14,Total,0,22632
110,2,238,14,Total,0,22450
111,4,227,14,Total,0,21383
112,3,62,3,Total,0,21233
113,2,228,14,Total,0,21017
114,4,216,14,Total,0,20466
115,2,70,3,Total,0,20072
116,2,63,3,Total,0,19662
117,1,28,2,Total,0,19351
118,2,256,14,Total,0,19139
119,2,230,14,Total,0,18766
120,2,37,3,Total,0,18458
121,2,233,14,Total,0,18307
122,1,263,14,Total,0,18178
123,2,60,3,Total,0,18039
124,5,227,14,Total,0,17885
125,2,246,14,Total,0,17764
126,1,25,2,Total,0,17559
127,3,269,14,Total,0,17486
128,1,16,2,Total,0,17477
129,2,247,14,Total,0,17357
130,2,248,14,Total,0,17286
131,2,66,3,Total,0,17200
132,3,232,14,Total,0,16789
133,4,49,3,Total,0,16664
134,1,4,1,Total,0,16558
135,2,34,2,Total,0,16350
136,1,81,3,Total,0,16340
137,2,56,3,Total,0,16232
138,2,155,12,Total,0,16116
139,3,191,13,Total,0,16079
140,1,79,3,Total,0,15769
141,4,230,14,Total,0,15335
142,2,224,14,Total,0,15165
143,1,259,14,Total,0,15161
144,1,159,13,Total,0,14965
145,3,134,11,Total,0,14780
146,2,64,3,Total,0,14683
147,2,12,1,Total,0,14598
148,4,15,2,Total,0,14498
149,1,29,2,Total,0,14379
150,1,4,1,Total,0,14319
151,2,73,3,Total,0,14111
152,2,1,1,Total,0,14107
153,2,12,1,Total,0,13891
154,1,63,3,Total,0,13855
155,2,69,3,Total,0,13797
156,4,92,3,Total,0,13788
157,1,180,13,Total,0,13785
158,2,154,12,Total,0,13733
159,2,2,1,Total,0,13421
160,3,228,14,Total,0,13394
161,2,199,13,Total,0,13050
162,2,131,11,Total,0,12963
163,2,88,3,Total,0,12579
164,1,39,3,Total,0,12401
165,1,16,2,Total,0,12163
166,1,132,11,Total,0,12042
167,2,89,3,Total,0,11715
168,1,81,3,Total,0,11656
169,1,19,2,Total,0,11646
170,2,222,14,Total,0,11640
171,4,32,2,Total,0,11617
172,2,18,2,Total,0,11535
173,5,228,14,Total,0,11442
174,1,67,3,Total,0,11402
175,2,177,13,Total,0,11277
176,1,81,3,Total,0,10986
177,2,224,14,Total,0,10913
178,2,63,3,Total,0,10904
179,1,87,3,Total,0,10901
180,2,54,3,Total,0,10780
181,2,224,14,Total,0,10779
182,1,88,3,Total,0,10562
183,4,67,3,Total,0,10561
184,3,79,3,Total,0,10466
185,2,157,12,Total,0,10422
186,2,275,14,Total,0,10413
187,1,9,1,Total,0,10333
188,2,63,3,Total,0,10272
189,2,179,13,Total,0,10236
190,1,208,14,Total,0,10233
191,2,142,12,Total,0,10192
192,5,269,14,Total,0,9957
193,4,81,3,Total,0,9899
194,3,58,3,Total,0,9535
195,2,211,14,Total,0,9291
196,2,65,3,Total,0,9259
197,2,92,3,Total,0,9218
198,3,88,3,Total,0,9147
199,3,62,3,Total,0,9126
200,2,88,3,Total,0,9041
201,2,224,14,Total,0,9038
202,1,156,12,Total,0,8989
203,1,169,13,Total,0,8968
204,4,208,14,Total,0,8768
205,2,174,13,Total,0,8727
206,1,8,1,Total,0,8696
207,1,259,14,Total,0,8642
208,3,234,14,Total,0,8589
209,3,79,3,Total,0,8541
210,2,184,13,Total,0,8252
211,1,79,3,Total,0,8226
212,3,230,14,Total,0,8167
213,3,266,14,Total,0,8061
214,3,165,13,Total,0,8054
