new_family_index,old_family_index,family,level,family_num
0,0,Gadidae,4,2146184
1,1,Pleuronectidae,4,1574923
2,2,Clupeidae,3,788432
3,4,Triglidae,4,282479
4,5,Spionidae,2,256401
5,8,Bacillariaceae,1,187479
6,3,Globigerinidae,2,183997
7,7,Chaetocerotaceae,1,176839
8,9,Rhizosoleniaceae,1,159204
9,6,Globorotaliidae,2,139921
10,10,Soleidae,4,129138
11,12,Gymnodiniaceae,1,126332
12,13,Nephtyidae,2,124197
13,14,Callionymidae,3,119967
14,15,Tellinidae,2,115921
15,18,Capitellidae,2,109689
16,17,Scombridae,5,106239
17,11,Protoperidiniaceae,1,104079
18,20,Scyliorhinidae,5,98553
19,21,Rajidae,4,95299
20,23,Laridae,5,93300
21,19,Acartiidae,2,90847
22,22,Merlucciidae,5,87701
23,26,Phyllodocidae,2,86891
24,24,Temoridae,2,84036
25,25,Thalassiosiraceae,1,82304
26,16,Ceratiaceae,1,81426
27,28,Carangidae,4,80453
28,29,Nereididae,2,80401
29,27,Peridiniaceae,1,77841
30,30,Fragilariaceae,1,75329
31,33,Cirratulidae,2,73416
32,31,Scophthalmidae,4,73323
33,32,Prorocentraceae,1,72062
34,35,Semelidae,2,69938
35,38,Hydrobiidae,3,67233
36,40,Argentinidae,3,66941
37,37,Mytilidae,2,66409
38,41,Syllidae,2,65598
39,43,Lasaeidae,2,64948
40,42,Terebellidae,2,64798
41,44,Polynoidae,2,63409
42,45,Skeletonemaceae,1,62960
43,46,Orbiniidae,2,62925
44,36,Dinophysaceae,1,62308
45,39,Centropagidae,2,59000
46,34,Clausocalanidae,2,57582
47,47,Geminigeraceae,1,55983
48,48,Ophiuridae,2,53290
49,49,Leptocylindraceae,1,52360
50,50,Mysidae,2,50759
51,53,Amphiuridae,2,50074
52,55,Chironomidae,2,49488
53,54,Lotidae,4,49319
54,57,Corophiidae,2,47864
55,60,Glyceridae,2,46258
56,61,Myidae,2,45737
57,63,Ammodytidae,4,45649
58,64,Corbulidae,2,44562
59,66,Pholoidae,2,43484
60,59,Hemiaulaceae,1,42519
61,67,Cardiidae,2,42437
62,70,Ampharetidae,2,41626
63,69,Naididae,2,41571
64,68,Veneridae,2,41463
65,73,Heterocapsaceae,1,39831
66,74,Ampeliscidae,2,39659
67,71,Pyramimonadaceae,1,39352
68,75,Gobiidae,4,38430
69,51,Calanidae,2,36928
70,77,Bothidae,4,36629
71,78,Maldanidae,2,35847
72,80,Serpulidae,2,34642
73,85,Cottidae,3,33828
74,84,Oweniidae,2,33751
75,83,Pectinariidae,2,33560
76,86,Mactridae,2,33341
77,79,Polybiidae,3,33302
78,88,Paraonidae,2,32777
79,87,Loliginidae,4,32273
80,89,Pharidae,2,31955
81,92,Lumbrineridae,2,31749
82,95,Trachinidae,4,31120
83,82,Lithodesmiaceae,1,30899
84,94,Gammaridae,2,30700
85,96,Bathyporeiidae,2,30621
86,52,Oithonidae,2,30601
87,93,Diastylidae,2,30395
88,98,Nuculidae,2,30276
89,72,Coscinodiscaceae,1,30263
90,100,Phoronidae,2,30219
91,102,Magelonidae,2,30179
92,101,Muricidae,3,29934
93,99,Pontoporeiidae,2,29704
94,103,Agonidae,4,29595
95,81,Podonidae,2,29470
96,62,Globigerinitidae,2,29094
97,104,Lophiidae,5,28228
98,91,Triceratiaceae,1,27691
99,108,Scalibregmatidae,2,27656
100,105,Pleurosigmataceae,1,27576
101,90,Gonyaulacaceae,1,27262
102,107,Cyprinidae,2,27075
103,110,Percidae,4,26156
104,76,Paracalanidae,2,25469
105,109,Nephropidae,4,24714
106,116,Naviculaceae,1,24538
107,118,Eutreptiaceae,2,24244
108,117,Paguridae,3,23963
109,121,Chrysochromulinaceae,1,23868
110,115,Nostocaceae,1,23758
111,114,Dictyochaceae,1,23720
112,120,Rhodomelaceae,1,23525
113,123,Pedinellaceae,1,23321
114,122,Trichobranchidae,2,22632
115,125,Goniadidae,2,22450
116,127,Sebastidae,4,21383
117,126,Crangonidae,3,21233
118,128,Sabellidae,2,21017
119,131,Zoarcidae,4,20466
120,111,Cibicididae,2,20088
121,132,Balanidae,2,20072
122,119,Hauerinidae,2,19678
123,133,Ebriaceae,2,19662
124,113,Cassidulinidae,2,19464
125,134,Phaeocystaceae,1,19351
126,135,Thyasiridae,2,19139
127,137,Hesionidae,2,18766
128,141,Urothoidae,2,18458
129,142,Oedicerotidae,2,18307
130,138,Fucaceae,1,18178
131,143,Syngnathidae,2,18039
132,146,Alcidae,5,17898
133,145,Squalidae,5,17885
134,144,Flabelligeridae,2,17764
135,149,Merismopediaceae,1,17559
136,148,Buccinidae,3,17486
137,151,Licmophoraceae,1,17477
138,153,Opheliidae,2,17357
139,150,Loveniidae,2,17286
140,154,Golfingiidae,2,17200
141,147,Asteriidae,3,16789
142,155,Labridae,4,16664
143,158,Cladophoraceae,1,16558
144,157,Arcticidae,2,16350
145,161,Ostreopsidaceae,1,16340
146,162,Sigalionidae,2,16232
147,163,Aoridae,2,16116
148,164,Sertulariidae,3,16079
149,166,Amphidiniaceae,1,15769
150,139,Sparidae,4,15335
151,172,Electridae,2,15165
152,168,Ulvaceae,1,15161
153,169,Dinobryaceae,1,14965
